exam_id,question,option_1,option_2,option_3,option_4,option_5,image,correct_option,reason
EXAM 1,Which of the following has the highest number of lone pairs on the central atom?,ClF3,BrF5,IF3,ICl3,,,ClF3,
EXAM 1,Which interhalogen is known to be explosive on contact with organic materials?,BrF5,ClF3,ICl,IF5,,,ClF3,
EXAM 1,Which interhalogen compound shows square pyramidal geometry?,BrF5,IF7,ClF3,ICl3,,,BrF5,
EXAM 1,Which statement is true for interhalogen compounds?,The central atom is always the most electronegative halogen,The bond is non-polar dur to equal sharing,The central atom is the laeger halogen atom,They cannot be prepared by the direct reaction,,,The central atom is the larger halogen atom,
EXAM 1,Which of the following has the highest boiling point among interhalogens,Icl,IBr,IF7,BrF5,,,IF7,
EXAM 1,The interhalogen compound IF? is best described as:,Highly stable and colourless,Yellow crystalline solid at room temparature,Volatile liquid with pungent odour,Green paramagnstic gas,,,Highly unstale and colourless,
EXAM 1, Which of the following is incorrectly matched?,ClF? – T-shaped,BrF? – Square pyramidal,IF? – Pentagonal bipyramidal,ICl? – Trigonal planar,,,ICl? – Trigonal planar,
EXAM 1,Which factor governs the maximum number of atoms bonded to the central halogen in interhalogen compounds,Electronegativity of central atom ,Size and availability of d-orbitals,Ionization potential of central atom,Oxidation state of smaller halogen,,,Size and availability of d-orbitals,
,,,,,,,,,
EXAM 1,Which of the following complexes does not obey the 18-electron rule,[Mn(CO)5],[Ni(CO)4],[Cr(CO)6], [Fe(CO)5],,,[Mn(CO)5],
EXAM 1,Total valence electron count for [Fe(CO)5] is:,16e-,17e-,18e-,20e-,,,18e-,
EXAM 1,Which of the following complexes exactly satisfies the 18-electron rule?,[T i(CO)6]2?,[Fe(CO)4],[Mn(CO)5],[Ni(CO)3],,,[T i(CO)6]2?,
EXAM 1,What is the characteristic of complexes that obey the 18-electron rule? ,They are generally unstable,They are considered to be stable. ,They must contain metal-metal bonds. ,They primarily exhibit high-spin configurations,,, They are considered to be stable. ,
EXAM 1,Which of the following complexes violates the 18-electron rule?,[Cr(CO)?],[Mn(CO)?]?,[FeCp?] (Ferrocene),[Mo(CO)?],,,[Mn(CO)?]?,
EXAM 1,"In the complex [FeCp?] (Ferrocene), the Fe atom attains how many electrons in total?",16,18,20,22,,,18,
EXAM 1,"According to Hückel's rule, an aromatic compound must have: ",An even number of carbon atoms. ,A continuous system of overlapping p-orbitals,"(4n + 2) ? electrons, where n is an integer. ",Both B&C,,,Both B&C,
,,,,, ,,,,
EXAM 1, Which of the following molecules is aromatic,Cyclobutadiene,Cyclobutatetraene,Pyridine,"1,3,5-Hexatriene",,,Pyridine,
EXAM 1,"A molecule that is cyclic, planar, and has 4n ? electrons is classified as: ",Aromatic,non-aomatic ,anti-aromatic,aliphatic,,,Antiaromatic,
EXAM 1,The cyclopentadienyl anion is aromatic because: ,It is a negatively charged carbocation. ,"It becomes cyclic, planar, and has 6 ? electrons",It has 5 carbon atoms and 2 double bonds,It is stable due to inductive effects. ,,,"It becomes cyclic, planar, and has 6 ? electrons",
EXAM 1,Which of these ions is antiaromatic? ,Cyclopropenyl cation,Cyclopentadienyl anion,Cycloheptatrienyl cation,Cyclopentadienyl cation,,,Cyclopentadienyl cation,
,,,,,,,,,
EXAM 1,A molecule must be cyclic and planar to be aromatic. What is the primary consequence if a conjugated ring is not planar? , The molecular weight changes,The p-orbitals cannot overlap effectively to create a continuous ring of electron density. ,The bond lengths become equal,It automatically becomes antiaromatic. ,,,The p-orbitals cannot overlap effectively to create a continuous ring of electron density. ,
,,,,,,,,,
EXAM 1,Which of the following best describes the stability of aromatic compounds? ," They are highly reactive, similar to alkenes","They have a lower stability than their non-cyclic, conjugated counterparts. ",They are stabilized by an extra delocalization energy known as resonance energy. , Their stability is solely due to ring strain. ,,,They are stabilized by an extra delocalization energy known as resonance energy. ,
,,,,,,,,,
EXAM 1,Identify the molecule(s) which is aromatic:,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Only I              ,Only I and II ,Only I and III                ,"I, II and IV ",,,"I, II and IV ",
,,,,,,,,,
EXAM 1,. Cyclobutadiene is: ,aromatic,antiaromatic,non-aromatic,none of the above,,,antiaromatic,
EXAM 1,Which complex obeys the 18-electron rule only via electron capture? ,Ni(CO)?      ,Cr(CO)?          ,V(CO)?           ,Fe(CO)? ,,,V(CO)?           ,
,,,,,,,,,
EXAM 1,"In a mixed metal oxide AB2O4 crystal, all A atoms and half of the B atoms have been in the octahedral holes and half of the B atoms have been in the tetrahedral holes. The structure of the metal oxide is ",Spinel,inverse spinel,llmenite,perovskite,,,inverse spinel,
EXAM 1,"Choose the correct set of miller indices for the planes with intercept along cartesian co-ordinate axes. i) OA = a, OB = 2a, OC= a  and ii) OA = a, OB = a/2, OC= a/2 from the below given options.",(212) and (122),(211) and (112),(1 ½ ½) and (121),(221) and (122),,,(212) and (122),
EXAM 1,"The miller indices for a plane with intercepts along the axes at 2a, 3b and 2c are ",-232,-131,"(½,1/3, ½)",-323,,,-323,
EXAM 1,"The angle at which the first order Bragg reflection is observed from (110) plane in an SCC cell of side 3.238 Ao, when chromium K? radiation wavelength 2.29 Ao is used as",30,45,60,90,,,30,
EXAM 1,A plane of spacing d shows first order Bragg reflection at angle ?. A plane of spacing 2d,Shows Bragg diffraction at 2?,Shows Bragg diffraction at ?/2 ,,Shows Bragg diffraction at,,,,
EXAM 1,The (002) plane of an element FCC diffracts x-ray (? =0.154nm) at Braggs angle 90° the density of the crystal is 4 × 104 Kg/m3. The atomic weight of elemental solid is,22,66,44,88,,,22,
EXAM 1,The powder method for X-ray diffraction is particularly useful because:,It uses single large crystals,It eliminates need for crystal rotation,It gives only one reflection,It uses polarized X-rays,,,It eliminates need for crystal rotation,
EXAM 1,"In a cubic crystal, if a = 4 Å, what is d????",2 Å,2.83 Å,4 Å,1.41 Å,,,2 Å,
EXAM 1,The total number of symmetry elements in a cube equals:,13,17,23,27,,,23,
EXAM 1,"In Bragg’s law n?=2dsin?, the quantity n represents",diffraction order,no of planes,crystal density,interplanar spacing,,,diffraction order,
EXAM 1,"In Bragg’s equation, if ? > 2d, then:",No diffraction possible,multiple order  appear,? becomes 90°, ? is halved,,,No diffraction possible,
EXAM 1,"For a body-centred cubic (BCC) lattice, reflections are observed only when:",h + k + l = odd,h + k + l = even,"h, k, l all even",Any combination,,,h + k + l = even,
